"Town.Library","Town"
"Andover","Andover"
"Ansonia","Ansonia"
"Ashford-Babcock","Ashford"
"Avon","Avon"
"Beacon Falls","Beacon Falls"
"Berlin - East Berlin","Berlin"
"Berlin Free","Berlin"
"Berlin-Peck","Berlin"
"Bethany - Clark","Bethany"
"Bethel","Bethel"
"Bethlehem","Bethlehem"
"Bloomfield - Prosser","Bloomfield"
"Bolton - Bentley","Bolton"
"Branford - Blackstone","Branford"
"Branford - Willoughby","Branford"
"Bridgeport","Bridgeport"
"Bridgewater - Burnham","Bridgewater"
"Bristol","Bristol"
"Brookfield","Brookfield"
"Brooklyn","Brooklyn"
"Burlington","Burlington"
"Canaan - David Hunt","Canaan"
"Canterbury","Canterbury"
"Canton","Canton"
"Chaplin","Chaplin"
"Cheshire","Cheshire"
"Chester","Chester"
"Clinton - Henry C. Hull","Clinton"
"Colchester - Cragin","Colchester"
"Columbia - S.B. Little","Columbia"
"Cornwall","Cornwall"
"Cornwall, West","Cornwall"
"Coventry - Booth Dim","Coventry"
"Cromwell","Cromwell"
"Danbury","Danbury"
"Darien","Darien"
"Deep River","Deep River"
"Derby","Derby"
"Derby - Derby Neck","Derby"
"Durham","Durham"
"East Granby","East Granby"
"East Haddam","East Haddam"
"East Haddam - Rathbun","East Haddam"
"East Hampton","East Hampton"
"East Hampton - Middle","East Hampton"
"East Hartford","East Hartford"
"East Haven - Hagaman","East Haven"
"East Lyme","East Lyme"
"East Windsor - Broad","East Windsor"
"East Windsor - Warehouse","East Windsor"
"Eastford","Eastford"
"Easton","Easton"
"Ellington - Hall","Ellington"
"Enfield","Enfield"
"Essex","Essex"
"Essex - Ivoryton","Essex"
"Fairfield","Fairfield"
"Fairfield - Pequot","Fairfield"
"Farmington","Farmington"
"Franklin - Janet Carlson","Franklin"
"Glastonbury - East","Glastonbury"
"Glastonbury - Welles T.","Glastonbury"
"Glastonbury - Welles-T.","Glastonbury"
"Glastonbury, South","Glastonbury"
"Goshen","Goshen"
"Granby","Granby"
"Greenwich","Greenwich"
"Greenwich - Perrot","Greenwich"
"Griswold - Slater","Griswold"
"Groton","Groton"
"Groton - Bill","Groton"
"Groton - Mystic","Groton"
"Guilford","Guilford"
"Haddam - Brainerd","Haddam"
"Hamden","Hamden"
"Hampton - Fletcher","Hampton"
"Hartford","Hartford"
"Hartland","Hartland"
"Harwinton","Harwinton"
"Hebron - Douglas","Hebron"
"Kent","Kent"
"Killingly","Killingly"
"Killingworth","Killingworth"
"Lebanon - JonTrumbull","Lebanon"
"Ledyard","Ledyard"
"Litchfield - Gilbert","Litchfield"
"Litchfield - OWL","Litchfield"
"Lyme","Lyme"
"Madison - E.C.Scranton","Madison"
"Manchester","Manchester"
"Mansfield","Mansfield"
"Marlborough-Richmond","Marlborough"
"Meriden","Meriden"
"Middlebury","Middlebury"
"Middlefield - Levi Coe","Middlefield"
"Middletown - Russell","Middletown"
"Milford","Milford"
"Monroe - Edith Wheeler","Monroe"
"Montville - Raymond","Montville"
"Morris","Morris"
"N.Stonington-Wheeler","North Stonington"
"Naugatuck - Howard W.","Naugatuck"
